ticker,date,num_posts,mean_sent_hype,max_sent_hype,mean_sent_fomo,max_sent_fomo,mean_sent_fear,mean_sent_panic,mean_sent_sarcasm,mean_sent_confidence,mean_sent_anger,mean_sent_regret,share_hype_posts,share_fomo_posts,share_rocket_emoji,share_moon_emoji,share_diamond_emoji,share_money_emoji,avg_score,avg_num_comments,close,volume,ret,vol_ma20,rolling_vol_10d,rolling_vol_20d,mean_abs_daily_return,std_daily_return,avg_10d_vol,peak_10d_vol,peak_20d_vol,annualized_volatility,composite_score,ret_lead1,vol_lead1,meme_alert
ACHR,2025-03-24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8.930000305175781,23582000,0.02379716051916906,0.8047432273841996,0.6928709683370976,1.0116633755313067,0.04010040578582457,0.05641361070837756,0.7933481168054037,2.3204487896549284,1.7933098152937186,0.8955383069614642,3.8573628218254106,-0.01580172170535596,14257700,0
ACHR,2025-04-29,1,0.5,0.5,0.3,0.3,0,0,0,0.6,0,0,0,0,0,0,0,0,1,0,8.989999771118164,21475800,0.05252349282500475,0.8047432273841996,0.5909536991774312,0.9153175075743502,0.04010040578582457,0.05641361070837756,0.7933481168054037,2.3204487896549284,1.7933098152937186,0.8955383069614642,3.8573628218254106,-0.0762493760041107,28671700,0
AFRM,2025-04-28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,49.16999816894531,4703200,0.00162829300629121,0.7832181804665664,0.5443706736311115,1.2327367106155325,0.03655062651523938,0.05137011948066365,0.7558456264266971,1.669149651513536,1.3178805922246253,0.8154753657930632,3.44475399237354,0.02470756116811586,7375600,0
AFRM,2025-04-29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50.400001525878906,7375600,0.02470756116811586,0.7832181804665664,0.5403983155934268,1.231233043577498,0.03655062651523938,0.05137011948066365,0.7558456264266971,1.669149651513536,1.3178805922246253,0.8154753657930632,3.44475399237354,-0.01277979065302011,6021600,0
AFRM,2025-04-30,1,0.8,0.8,0.3,0.3,0,0,0,0.85,0,0,1,0,0,0,0,0,1,0,49.7599983215332,6021600,-0.01277979065302011,0.7832181804665664,0.5668418740457286,1.2329032302237737,0.03655062651523938,0.05137011948066365,0.7558456264266971,1.669149651513536,1.3178805922246253,0.8154753657930632,3.44475399237354,-2.0095109507571e-4,6100500,0
AMC,2024-01-02,2,0.8500000000000001,0.9,0.55,0.6,0,0,0.3,0.775,0,0,1,0.5,1,0,0.5,0,1,0,6.110000133514404,13559500,NA,0.7159673858546686,NA,NA,0.03210331818365797,0.05529259952792502,0.6744199721902494,3.7671709478211106,2.7820528355051004,0.877742806159062,3.466677617840192,-0.09073803231481892,29667200,0
AMC,2024-01-03,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.579999923706055,29667200,-0.09073803231481892,0.7159673858546686,NA,NA,0.03210331818365797,0.05529259952792502,0.6744199721902494,3.7671709478211106,2.7820528355051004,0.877742806159062,3.466677617840192,-0.05148190617468384,22982900,0
AMC,2024-01-04,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.300000190734863,22982900,-0.05148190617468384,0.7159673858546686,NA,NA,0.03210331818365797,0.05529259952792502,0.6744199721902494,3.7671709478211106,2.7820528355051004,0.877742806159062,3.466677617840192,-0.02483415326839854,16213500,0
AMC,2024-01-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.170000076293945,16213500,-0.02483415326839854,0.7159673858546686,NA,NA,0.03210331818365797,0.05529259952792502,0.6744199721902494,3.7671709478211106,2.7820528355051004,0.877742806159062,3.466677617840192,0.02294553538167304,14387800,0
AMC,2024-01-26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,4.070000171661377,11295600,-0.00245392808482852,0.7159673858546686,0.6552825578133857,0.6232306115365768,0.03210331818365797,0.05529259952792502,0.6744199721902494,3.7671709478211106,2.7820528355051004,0.877742806159062,3.466677617840192,0.04797078114192933,10971900,0
AMC,2024-01-29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.269999980926514,10971900,0.04797078114192933,0.7159673858546686,0.7170289962216293,0.6617266635661955,0.03210331818365797,0.05529259952792502,0.6744199721902494,3.7671709478211106,2.7820528355051004,0.877742806159062,3.466677617840192,-0.03819076178027535,8874400,0
AMC,2024-01-30,2,0.95,0.95,0.8,0.8,-0.1,0,0,0.9,0,0,1,1,1,0,1,0,1,0,4.110000133514404,8874400,-0.03819076178027535,0.7159673858546686,0.6219868783570761,0.6465211215271883,0.03210331818365797,0.05529259952792502,0.6744199721902494,3.7671709478211106,2.7820528355051004,0.877742806159062,3.466677617840192,-0.01470613277992456,14591600,0
AMC,2024-02-08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.090000152587891,10763900,0.03736426952946097,0.7159673858546686,0.8390498431584974,0.7533076800587788,0.03210331818365797,0.05529259952792502,0.6744199721902494,3.7671709478211106,2.7820528355051004,0.877742806159062,3.466677617840192,0.06850374315415558,19574100,0
AMC,2024-02-09,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.380000114440918,19574100,0.06850374315415558,0.7159673858546686,0.9056283202764523,0.789440897020611,0.03210331818365797,0.05529259952792502,0.6744199721902494,3.7671709478211106,2.7820528355051004,0.877742806159062,3.466677617840192,0.04027386046153039,15646900,0
AMC,2024-02-16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.829999923706055,10243200,-0.01234582431458779,0.7159673858546686,0.9018747681121476,0.7284326094551475,0.03210331818365797,0.05529259952792502,0.6744199721902494,3.7671709478211106,2.7820528355051004,0.877742806159062,3.466677617840192,-0.03583103647526192,9115700,0
AMC,2024-03-08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.300000190734863,17507600,-0.06744121570653808,0.7159673858546686,0.9860988971994704,0.8062660222417044,0.03210331818365797,0.05529259952792502,0.6744199721902494,3.7671709478211106,2.7820528355051004,0.877742806159062,3.466677617840192,0.01385702092705161,12463000,0
